energy_type,energy_consumption,emission
natural_gas,80.67,221.84
natural_gas,74.54,204.99
lpg,61.7,183.87
kerosene,19.82,61.44
natural_gas,48.63,133.73
lpg,62.11,185.09
natural_gas,6.96,19.14
kerosene,73.59,228.13
kerosene,25.17,78.03
lpg,63.66,189.71
kerosene,54.85,170.03
lpg,32.67,97.36
natural_gas,42.99,118.22
natural_gas,48.33,132.91
natural_gas,63.75,175.31
natural_gas,98.41,270.63
lpg,9.41,28.04
natural_gas,69.63,191.48
lpg,11.18,33.32
lpg,96.74,288.29
kerosene,41.61,128.99
kerosene,14.28,44.27
natural_gas,69.91,192.25
lpg,84.15,250.77
natural_gas,91.39,251.32
kerosene,67.94,210.61
kerosene,45.39,140.71
kerosene,56.94,176.51
kerosene,7.97,24.71
kerosene,78.64,243.78
kerosene,42.54,131.87
kerosene,74.09,229.68
natural_gas,13.41,36.88
natural_gas,54.48,149.82
kerosene,35.91,111.32
lpg,30.78,91.72
lpg,60.74,181.01
lpg,31.69,94.44
lpg,18.39,54.8
natural_gas,20.7,56.92
lpg,98.75,294.27
lpg,23.88,71.16
natural_gas,82.47,226.79
lpg,72.58,216.29
natural_gas,78.27,215.24
lpg,93.0,277.14
kerosene,16.01,49.63
natural_gas,85.75,235.81
kerosene,14.06,43.59
natural_gas,34.54,94.98
lpg,74.31,221.44
kerosene,89.29,276.8
lpg,41.38,123.31
natural_gas,72.76,200.09
lpg,73.56,219.21
natural_gas,78.24,215.16
natural_gas,8.84,24.31
natural_gas,45.62,125.45
kerosene,46.74,144.89
natural_gas,7.99,21.97
natural_gas,50.16,137.94
lpg,53.31,158.86
kerosene,18.24,56.54
natural_gas,43.99,120.97
natural_gas,24.29,66.8
lpg,12.31,36.68
natural_gas,71.0,195.25
kerosene,64.31,199.36
kerosene,65.17,202.03
kerosene,48.37,149.95
kerosene,88.91,275.62
kerosene,16.6,51.46
lpg,35.21,104.93
lpg,30.85,91.93
natural_gas,45.58,125.34
lpg,86.77,258.57
natural_gas,20.64,56.76
natural_gas,44.65,122.79
lpg,70.78,210.92
kerosene,37.07,114.92
natural_gas,20.99,57.72
lpg,43.36,129.21
kerosene,97.32,301.69
kerosene,71.15,220.57
natural_gas,33.58,92.34
lpg,99.79,297.37
natural_gas,62.91,173.0
kerosene,44.05,136.56
natural_gas,31.47,86.54
lpg,65.26,194.47
kerosene,18.77,58.19
kerosene,98.64,305.78
natural_gas,68.85,189.34
natural_gas,40.12,110.33
lpg,74.18,221.06
lpg,65.07,193.91
kerosene,42.89,132.96
natural_gas,13.58,37.34
lpg,19.32,57.57
natural_gas,22.72,62.48
lpg,86.54,257.89
natural_gas,25.92,71.28
kerosene,53.65,166.31
natural_gas,38.12,104.83
natural_gas,21.56,59.29
lpg,42.77,127.45
natural_gas,93.99,258.47
lpg,69.19,206.19
lpg,15.78,47.02
natural_gas,56.44,155.21
kerosene,29.5,91.45
kerosene,98.31,304.76
lpg,27.98,83.38
kerosene,90.24,279.74
lpg,88.85,264.77
natural_gas,37.21,102.33
natural_gas,71.53,196.71
natural_gas,86.35,237.46
kerosene,79.09,245.18
natural_gas,93.89,258.2
kerosene,68.55,212.5
kerosene,5.87,18.2
kerosene,94.31,292.36
lpg,5.48,16.33
kerosene,57.13,177.1
kerosene,47.6,147.56
lpg,26.31,78.4
lpg,6.72,20.03
kerosene,35.91,111.32
natural_gas,73.49,202.1
lpg,56.54,168.49
natural_gas,39.93,109.81
natural_gas,28.79,79.17
kerosene,97.44,302.06
lpg,51.24,152.7
natural_gas,46.27,127.24
lpg,52.75,157.19
natural_gas,51.79,142.42
lpg,26.87,80.07
natural_gas,59.34,163.19
lpg,9.14,27.24
kerosene,95.62,296.42
lpg,88.93,265.01
lpg,95.54,284.71
lpg,45.68,136.13
lpg,59.37,176.92
lpg,12.16,36.24
lpg,41.58,123.91
natural_gas,30.51,83.9
natural_gas,21.1,58.03
lpg,42.5,126.65
kerosene,71.12,220.47
kerosene,14.23,44.11
natural_gas,99.06,272.42
kerosene,29.15,90.36
kerosene,88.35,273.88
lpg,85.62,255.15
lpg,71.74,213.79
natural_gas,32.89,90.45
natural_gas,44.88,123.42
kerosene,87.37,270.85
lpg,12.75,37.99
natural_gas,52.64,144.76
lpg,23.46,69.91
kerosene,80.6,249.86
natural_gas,37.11,102.05
kerosene,13.93,43.18
natural_gas,68.84,189.31
natural_gas,49.23,135.38
natural_gas,98.27,270.24
kerosene,61.13,189.5
kerosene,28.77,89.19
kerosene,83.15,257.77
kerosene,56.02,173.66
lpg,54.61,162.74
lpg,30.8,91.78
lpg,48.44,144.35
kerosene,9.91,30.72
kerosene,56.36,174.72
natural_gas,18.14,49.89
lpg,97.11,289.39
kerosene,35.68,110.61
lpg,42.89,127.81
natural_gas,46.7,128.43
natural_gas,28.83,79.28
kerosene,96.45,299.0
natural_gas,45.69,125.65
lpg,10.53,31.38
kerosene,19.86,61.57
kerosene,27.78,86.12
kerosene,72.89,225.96
lpg,31.59,94.14
lpg,75.1,223.8
natural_gas,46.39,127.57
lpg,44.86,133.68
kerosene,38.82,120.34
lpg,16.42,48.93
lpg,16.03,47.77
lpg,13.94,41.54
kerosene,86.27,267.44
lpg,50.05,149.15
kerosene,77.52,240.31
lpg,49.98,148.94
lpg,49.14,146.44
lpg,42.86,127.72
kerosene,95.17,295.03
kerosene,29.78,92.32
kerosene,64.46,199.83
kerosene,52.6,163.06
lpg,69.98,208.54
natural_gas,94.7,260.43
natural_gas,81.09,223.0
kerosene,59.47,184.36
lpg,48.53,144.62
natural_gas,82.96,228.14
natural_gas,82.94,228.08
kerosene,24.64,76.38
lpg,11.59,34.54
natural_gas,40.84,112.31
lpg,13.97,41.63
natural_gas,36.97,101.67
kerosene,35.3,109.43
kerosene,69.75,216.22
kerosene,82.37,255.35
lpg,52.12,155.32
kerosene,71.19,220.69
lpg,93.98,280.06
lpg,81.33,242.36
lpg,57.06,170.04
lpg,76.31,227.4
natural_gas,99.1,272.52
kerosene,28.75,89.12
natural_gas,93.42,256.91
lpg,27.67,82.46
natural_gas,76.33,209.91
lpg,27.63,82.34
kerosene,90.74,281.29
kerosene,52.17,161.73
lpg,35.4,105.49
natural_gas,14.5,39.88
lpg,91.01,271.21
lpg,35.33,105.28
kerosene,69.29,214.8
natural_gas,51.84,142.56
lpg,13.71,40.86
lpg,57.6,171.65
lpg,76.48,227.91
natural_gas,79.22,217.85
natural_gas,13.66,37.56
kerosene,97.55,302.4
kerosene,57.21,177.35
lpg,75.02,223.56
lpg,38.34,114.25
kerosene,97.02,300.76
lpg,77.34,230.47
lpg,14.61,43.54
natural_gas,45.48,125.07
kerosene,42.68,132.31
natural_gas,72.09,198.25
lpg,53.77,160.23
kerosene,98.73,306.06
lpg,40.21,119.83
lpg,94.99,283.07
lpg,61.23,182.47
kerosene,72.28,224.07
natural_gas,78.83,216.78
kerosene,71.98,223.14
kerosene,91.1,282.41
natural_gas,46.27,127.24
lpg,6.08,18.12
kerosene,10.35,32.09
lpg,83.17,247.85
natural_gas,75.87,208.64
lpg,27.56,82.13
lpg,40.61,121.02
lpg,12.87,38.35
lpg,26.24,78.2
kerosene,81.2,251.72
lpg,97.14,289.48
lpg,35.66,106.27
kerosene,92.84,287.8
lpg,29.03,86.51
natural_gas,97.08,266.97
kerosene,20.79,64.45
lpg,71.1,211.88
natural_gas,99.6,273.9
kerosene,60.51,187.58
natural_gas,9.32,25.63
kerosene,95.29,295.4
kerosene,48.29,149.7
lpg,31.35,93.42
kerosene,41.89,129.86
kerosene,30.26,93.81
lpg,97.57,290.76
natural_gas,71.33,196.16
lpg,31.58,94.11
lpg,82.31,245.28
lpg,17.65,52.6
natural_gas,83.14,228.63
kerosene,44.58,138.2
